datadatetime,venuename,typeofspace,current,expected
2020-04-06 02:00:00,Costco Inglewood,shopping,0,0
2020-04-06 03:00:00,Costco Inglewood,shopping,0,0
2020-04-06 04:00:00,Costco Inglewood,shopping,0,0
2020-04-06 05:00:00,Costco Inglewood,shopping,0,0
2020-04-06 06:00:00,Costco Inglewood,shopping,0,0
2020-04-06 07:00:00,Costco Inglewood,shopping,0,0
2020-04-06 08:00:00,Costco Inglewood,shopping,0,0
2020-04-06 09:00:00,Costco Inglewood,shopping,0,0
2020-04-06 10:00:00,Costco Inglewood,shopping,40,30
2020-04-06 11:00:00,Costco Inglewood,shopping,41,45
2020-04-06 12:00:00,Costco Inglewood,shopping,43,56
2020-04-06 13:00:00,Costco Inglewood,shopping,42,58
2020-04-06 14:00:00,Costco Inglewood,shopping,42,52
2020-04-06 15:00:00,Costco Inglewood,shopping,42,46
2020-04-06 16:00:00,Costco Inglewood,shopping,43,49
2020-04-06 17:00:00,Costco Inglewood,shopping,46,56
2020-04-06 18:00:00,Costco Inglewood,shopping,36,55
2020-04-06 19:00:00,Costco Inglewood,shopping,14,0
2020-04-06 20:00:00,Costco Inglewood,shopping,0,0
2020-04-06 21:00:00,Costco Inglewood,shopping,0,0
2020-04-06 22:00:00,Costco Inglewood,shopping,0,0
2020-04-06 23:00:00,Costco Inglewood,shopping,0,0
2020-04-07 00:00:00,Costco Inglewood,shopping,0,0
2020-04-07 01:00:00,Costco Inglewood,shopping,0,0
2020-04-07 02:00:00,Costco Inglewood,shopping,0,0
2020-04-07 03:00:00,Costco Inglewood,shopping,0,0
2020-04-07 04:00:00,Costco Inglewood,shopping,0,0
2020-04-07 05:00:00,Costco Inglewood,shopping,0,0
2020-04-07 06:00:00,Costco Inglewood,shopping,0,0
2020-04-07 07:00:00,Costco Inglewood,shopping,0,0
2020-04-07 08:00:00,Costco Inglewood,shopping,0,0
2020-04-07 09:00:00,Costco Inglewood,shopping,0,0
2020-04-07 10:00:00,Costco Inglewood,shopping,50,30
2020-04-07 11:00:00,Costco Inglewood,shopping,40,43
2020-04-07 12:00:00,Costco Inglewood,shopping,41,50
2020-04-07 13:00:00,Costco Inglewood,shopping,37,50
2020-04-07 14:00:00,Costco Inglewood,shopping,29,46
2020-04-07 15:00:00,Costco Inglewood,shopping,26,44
2020-04-07 16:00:00,Costco Inglewood,shopping,30,45
2020-04-07 17:00:00,Costco Inglewood,shopping,29,46
2020-03-25 22:00:00,San Pedro Fish Market,shopping,0,0
2020-03-25 23:00:00,San Pedro Fish Market,shopping,0,0
2020-03-26 00:00:00,San Pedro Fish Market,shopping,0,0
2020-03-26 01:00:00,San Pedro Fish Market,shopping,0,0
2020-03-26 02:00:00,San Pedro Fish Market,shopping,0,0
2020-03-26 03:00:00,San Pedro Fish Market,shopping,0,0
2020-03-26 04:00:00,San Pedro Fish Market,shopping,0,0
2020-03-26 05:00:00,San Pedro Fish Market,shopping,0,0
2020-03-26 06:00:00,San Pedro Fish Market,shopping,0,0
2020-03-26 07:00:00,San Pedro Fish Market,shopping,0,0
2020-03-26 08:00:00,San Pedro Fish Market,shopping,1,0
2020-03-26 09:00:00,San Pedro Fish Market,shopping,2,2
2020-03-26 10:00:00,San Pedro Fish Market,shopping,3,5
2020-03-26 11:00:00,San Pedro Fish Market,shopping,4,9
2020-03-26 12:00:00,San Pedro Fish Market,shopping,5,13
2020-03-26 13:00:00,San Pedro Fish Market,shopping,5,17
2020-03-26 14:00:00,San Pedro Fish Market,shopping,3,18
2020-03-26 15:00:00,San Pedro Fish Market,shopping,3,17
2020-03-26 16:00:00,San Pedro Fish Market,shopping,4,16
2020-03-26 17:00:00,San Pedro Fish Market,shopping,1,13
2020-03-26 18:00:00,San Pedro Fish Market,shopping,0,9
2020-03-26 19:00:00,San Pedro Fish Market,shopping,0,5
2020-03-26 20:00:00,San Pedro Fish Market,shopping,0,0
2020-03-26 21:00:00,San Pedro Fish Market,shopping,0,0
2020-03-26 22:00:00,San Pedro Fish Market,shopping,0,0
2020-03-26 23:00:00,San Pedro Fish Market,shopping,0,0
2020-03-27 00:00:00,San Pedro Fish Market,shopping,0,0
2020-03-27 01:00:00,San Pedro Fish Market,shopping,0,0
2020-03-27 02:00:00,San Pedro Fish Market,shopping,0,0
2020-03-27 03:00:00,San Pedro Fish Market,shopping,0,0
2020-03-27 04:00:00,San Pedro Fish Market,shopping,0,0
2020-03-27 05:00:00,San Pedro Fish Market,shopping,0,0
2020-03-27 06:00:00,San Pedro Fish Market,shopping,0,0
2020-03-27 07:00:00,San Pedro Fish Market,shopping,0,0
2020-03-27 08:00:00,San Pedro Fish Market,shopping,2,1
2020-03-27 09:00:00,San Pedro Fish Market,shopping,3,3
2020-03-27 10:00:00,San Pedro Fish Market,shopping,4,7
